,t,c0,div1,div2
0,330.0,0.25,0.618881299774684,0.7529449532875625
0,250.0,0.7,0.007010231192571825,0.010506343003727436
0,380.0,0.1,0.0006796554639300761,0.0003019326013971174
0,240.0,0.7,0.010525704638768785,0.02460323536400688
0,280.0,0.1,0.0010187110010130423,0.0005175239531081954
0,440.0,0.5,0.006093249560851388,0.006444737973546055
0,360.0,0.2,0.031495897503136416,0.18965264651901587
0,270.0,0.7,0.004127294100328749,0.0036624992701649317
0,350.0,0.55,0.026331401095356033,0.1382601028384785
0,410.0,0.2,0.006080398930731756,0.006398328596626757
0,220.0,0.8,0.0012244062574315873,0.000667297147443846
0,200.0,0.8,0.0014296061969703011,0.0008182657369331103
0,310.0,0.1,0.0008710645113216842,0.00041649866094541077
0,550.0,0.35,0.0035501397484274944,0.002559912857479696
0,490.0,0.45,0.004746595864328018,0.003986149473716727
0,190.0,0.1,0.0036859819501926516,0.0029843892210103667
0,520.0,0.3,0.004458583446095732,0.003540205801875196
0,470.0,0.3,0.009659752733697569,0.015682774967880175
0,340.0,0.6,0.009160074951865993,0.01632892300269384
0,200.0,0.1,0.0026769088110971673,0.0018317928076490853
0,220.0,0.7,0.032322329913215264,0.2836690183237188
0,140.0,0.8,0.004447706785285943,0.004942722880431072
0,340.0,0.1,0.0007719810734585775,0.0003576387776371148
0,190.0,0.8,0.001581348436417107,0.0009263526438593184
0,110.0,0.8,0.04725092246109408,1.4361036180128348
0,320.0,0.6,0.018603176913470576,0.0706109292899687
0,540.0,0.4,0.003559186854623364,0.0025775892937909273
0,480.0,0.5,0.0036054976884573597,0.0026764115072897554
0,440.0,0.25,0.010670745733273923,0.019651436361091318
0,490.0,0.25,0.004359030161814353,0.0034740310546061415
0,500.0,0.3,0.005819496830615389,0.005516679050725004
0,480.0,0.45,0.005423884738384788,0.0049900488268818655
0,420.0,0.55,0.004496942223140676,0.0038354859836620125
0,330.0,0.1,0.0008013180363942718,0.00037529432140955
0,500.0,0.25,0.003835025519030283,0.0028919447722046687
0,280.0,0.8,0.0009112445173909967,0.0004431235779297493
0,430.0,0.2,0.0042270698600402334,0.003421349703729759
0,300.0,0.8,0.0008519545330476497,0.0004047718936976974
0,290.0,0.6,0.08536585388062434,0.8669372307076741
0,480.0,0.4,0.0075445522108485985,0.00927501964293026
0,320.0,0.1,0.0008341747689549622,0.00039476420177676774
0,420.0,0.2,0.005017957233644982,0.00451531527866858
0,480.0,0.25,0.0050204940003836795,0.004345945436958709
0,410.0,0.45,0.02651969914487179,0.13368996164350516
0,290.0,0.25,0.874561717946746,0.9527301452817173
0,380.0,0.55,0.009590510069358626,0.017195745681165997
0,370.0,0.1,0.0006999306278326067,0.0003141124609426088
0,420.0,0.5,0.00877224742649546,0.013625353150345354
0,470.0,0.5,0.004018222860595055,0.003144724710436253
0,500.0,0.5,0.002997572282220473,0.002065238564271321
0,480.0,0.35,0.008873387513408826,0.01300223583181348
0,530.0,0.35,0.004365965977341124,0.003421317766288068
0,550.0,0.4,0.0032690844289062215,0.0022897923289653677
0,330.0,0.5,0.3476802697324195,0.8297757335644234
0,120.0,0.1,1.3033351647147589,1.355164972625343
0,260.0,0.7,0.00523024550508,0.005781705671761728
0,420.0,0.4,0.03667106820662647,0.23888480513465804
0,130.0,0.8,0.007513015156553338,0.014786129084142785
0,450.0,0.5,0.005231174786723247,0.004811599139539824
0,300.0,0.25,0.7534122562531553,0.9284809207095008
0,390.0,0.25,0.06418213275703566,0.4364445191333607
0,590.0,0.4,0.002478969159565192,0.0016073647551915204
0,360.0,0.5,0.0716261886667639,0.677373723456965
0,450.0,0.25,0.008359958732517658,0.011719284244647049
0,390.0,0.55,0.007563510945898244,0.010116612207974107
0,580.0,0.4,0.002633991911784428,0.0017293817874080575
0,400.0,0.1,0.0006434567935215546,0.0002805380000831942
0,460.0,0.25,0.00693905548746121,0.007893728966440389
0,210.0,0.7,0.06682002078534854,1.0101759769308079
0,540.0,0.3,0.003576037294532819,0.002592217534166219
0,290.0,0.7,0.002903746296098131,0.002086921587974855
0,370.0,0.6,0.004758282616278087,0.00433875160361874
0,400.0,0.55,0.006217146416643282,0.006958092320141107
0,270.0,0.8,0.0009464279385513752,0.000467690608994098
0,490.0,0.3,0.006760806779201989,0.007355455177725234
0,160.0,0.8,0.0025023663396468443,0.0017285539032760866
0,310.0,0.6,0.028833028017797413,0.1728527384108567
0,520.0,0.4,0.004375864147170283,0.003457004167339961
0,430.0,0.4,0.025907428588951786,0.1255817180916401
0,530.0,0.4,0.003919627837104367,0.0029523325683854518
0,300.0,0.1,0.0009125875542257134,0.00044517196479139376
0,210.0,0.8,0.0013160272637821047,0.0007341481425343632
0,350.0,0.25,0.41447082921707123,0.6966811671102282
0,380.0,0.6,0.004068329406153648,0.0033381294197774025
0,390.0,0.1,0.0006608837560652253,0.0002907801822466527
0,510.0,0.35,0.0056055070046444055,0.005139384268067315
0,250.0,0.8,0.0010337643146008935,0.0005281687291908144
0,490.0,0.5,0.003273060755528745,0.0023296200476329854
0,180.0,0.1,0.005874818155481826,0.0067851168472584655
0,430.0,0.55,0.003940739365479895,0.003104691496610412
0,230.0,0.1,0.0015506138452687085,0.0009048906670777457
0,520.0,0.35,0.004922290441445265,0.004120980388519213
0,220.0,0.25,1.076938858612473,1.1248820826083192
0,470.0,0.45,0.00626741498941541,0.00657687756414288
0,200.0,0.7,0.15223996940719275,1.2448456773599514
0,370.0,0.25,0.17283081775598283,0.6115050167592362
0,300.0,0.7,0.0025462692680561227,0.0017247050730543334
0,420.0,0.25,0.0191651470040701,0.0696156316834135
0,460.0,0.35,0.01391169730095032,0.03556083646387015
0,420.0,0.45,0.018937905577381287,0.06940183507172581
0,380.0,0.2,0.013836771145875587,0.036012233946137895
0,460.0,0.5,0.004550428133929474,0.0038113319167918935
0,170.0,0.1,0.01234452021351981,0.037989410980433694
0,250.0,0.25,0.9962261993176149,1.0847100644781213
0,330.0,0.6,0.012625007034865576,0.03217031931938552
0,240.0,0.1,0.0013835134402797739,0.0007848439887056385
0,480.0,0.3,0.007951917062734903,0.010168926554603719
0,470.0,0.25,0.005863461343522308,0.005709055011825809
0,320.0,0.5,0.5874767816384064,0.8449616867923233
0,400.0,0.45,0.038128005324406244,0.2662799093118931
0,350.0,0.1,0.0007457784627814268,0.0003418376149205704
0,270.0,0.25,0.9319951715182444,1.0288142696766633
0,200.0,0.1,0.0026769088110971673,0.0018317928076490853
0,240.0,0.25,1.0218205277103052,1.1014765640415156
0,230.0,0.6,1.0080034476865742,1.0684054668047813
0,350.0,0.6,0.007062171377032356,0.009243407107491608
0,300.0,0.1,0.0009125875542257134,0.00044517196479139376
0,200.0,0.25,1.144878542678326,1.2092840169466907
0,220.0,0.1,0.0017790938608645418,0.0010695315673089345
0,310.0,0.5,0.7766172029708733,0.8939118588459412
0,230.0,0.8,0.0011492655855370737,0.0006125747565649542
0,600.0,0.4,0.0023433774155374176,0.0015031884270401696
0,380.0,0.5,0.029603147740580593,0.1696902303139758
0,530.0,0.3,0.00396760529759671,0.0029911175975135817
0,130.0,0.1,1.2168857190619429,1.3340456206671778
0,160.0,0.1,0.03397652921715626,1.147503226216391
0,350.0,0.5,0.11773867161339324,0.7845736639249735
0,360.0,0.1,0.0007218926202667564,0.0003273830596513122
0,540.0,0.35,0.003912784535765601,0.0029281237215280087
0,410.0,0.5,0.011189408006735901,0.02316609148554949
0,310.0,0.25,0.7224790127857157,0.9183687249884107
0,450.0,0.55,0.0031546892562963613,0.0022410469390630183
0,280.0,0.6,0.15894424401016483,0.9326951766961757
0,440.0,0.45,0.01096748935220937,0.02147748365458385
